"LANGUAGE","Українська"
"MOD_NAME","Увімкнути прокрутку країв"
"MOD_DESCRIPTION","Додає гарячу клавішу та кнопку UUI для перемикання прокрутки краю в грі."
"DISABLE_LOAD","Автоматично вимкнути прокрутку країв при завантаженні гри"
"DISABLE_BACKGROUND","Автоматично вимкнути прокрутку країв у фоновому режимі"
"LANGUAGE_CHOICE","Вибрати мову"
"LANGUAGE_GAME","Мова гри"
"HOTKEY","Гаряча клавіша"
"PRESS_ANY_KEY","Натисніть будь-яку клавішу"
