"LANGUAGE","Русский"
"MOD_NAME","Переключить прокрутку у края экрана"
"MOD_DESCRIPTION","Добавляет горячую клавишу и кнопку UUI для переключения прокрутки у края экрана в игре."
"DISABLE_LOAD","Автоматически отключать прокрутку по краям экрана при загрузке игры"
"DISABLE_BACKGROUND","Автоматически отключать прокрутку по краям экрана в фоновом режиме"
"LANGUAGE_CHOICE","Выбрать язык"
"LANGUAGE_GAME","Использ. язык игры"
"HOTKEY","Горячая клавиша"
"PRESS_ANY_KEY","Нажмите любую клавишу"
