"LANGUAGE","Italiano"
"MOD_NAME","Alterna lo scorrimento dei bordi"
"MOD_DESCRIPTION","Aggiunge un tasto di scelta rapida e un pulsante UUI per attivare lo scorrimento dei bordi nel gioco."
"DISABLE_LOAD","Disattiva automaticamente lo scorrimento dei bordi al caricamento del gioco"
"DISABLE_BACKGROUND","Disattiva automaticamente lo scorrimento dei bordi in background"
"LANGUAGE_CHOICE","Impostare la lingua"
"LANGUAGE_GAME","Usa il linguaggio del gioco"
"HOTKEY","Scorciatoia"
"PRESS_ANY_KEY","Premere un tasto qualsiasi"
