LANGUAGE,Español
TES_NAM,Toggle Edge Scrolling
TES_DESC,Agrega un atajo y botón a UUI para cambiar el desplazamiento en el margen en juego.
TES_OPT_DOS,Deshabilita automáticamente el desplazamiento en el margen al cargar el juego
TRN_CHOICE,Elegir idioma
LANGUAGE_GAME,Usa el idioma del juego
KEY_KEY,Atajo
PRESS_ANY_KEY,Presiona cualquier tecla
